concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
hotel-requests.is-there-a-safe,יש כספת?,יֵשׁ כַּסֶּפֶת?,yesh kaséfet?,jˈeʃ kasˈefet,is there a safe?,2,he-agent-v1;ipa=bgn
hotel-requests.another-blanket,"עוד שמיכה, בבקשה","עוֹד שְׂמִיכָה, בְּבַקָּשָׁה","‘od semikha, bevaqasha","ˈod semixˈa, bevakaʃˈa","another blanket, please",2,he-agent-v1;ipa=bgn
hotel-requests.wake-up-call,אפשר להעיר אותי בשעה {}?,אֶפְשָׁר לְהָעִיר אוֹתִי בְּשָׁעָה {}?,efshar leha‘ir oti besha‘a {}?,efʃˈaʁ lehaˈiʁ otˈi beʃaˈa {},can I be woken at the hour {}?,2,he-agent-v1;ipa=bgn
room-problems.there-is-a-problem-with-the-room,יש בעיה בחדר,יֵשׁ בְּעָיָה בַּחֶדֶר,yesh be‘aya baẖéder,jˈeʃ beajˈa baxˈedeʁ,there is a problem in the room,2,he-agent-v1;ipa=bgn
room-problems.the-air-conditioning-is-broken,המזגן מקולקל,הַמַּזְגָן מְקוּלְקָל,hamazgan mequlqal,hamazɡˈan mekulkˈal,the air conditioner is broken,2,he-agent-v1;ipa=bgn
room-problems.there-is-no-hot-water,אין מים חמים,אֵין מַיִם חַמִּים,eyn máyim ẖamim,ejn mˈajim xamˈim,there is no hot water,2,he-agent-v1;ipa=bgn
room-problems.can-i-change-rooms,אפשר להחליף חדר?,אֶפְשָׁר לְהַחֲלִיף חֶדֶר?,efshar lehaẖalif ẖéder?,efʃˈaʁ lehaxalˈif xˈedeʁ,can the room be changed?,2,he-agent-v1;ipa=bgn
room-problems.the-room-is-too-noisy,החדר רעשן מדי,הַחֶדֶר רַעֲשָׁן מִדַּי,haẖéder ra‘ashan miday,haxˈedeʁ ʁaaʃˈan mˈidaj,the room is too noisy,2,he-agent-v1;ipa=bgn
room-problems.the-key-does-not-work,הכרטיס לא פותח,הַכַּרְטִיס לֹא פּוֹתֵחַ,hakartis lo potéaẖ,hakaʁtˈis lˈo potˈeax,the card does not open,2,he-agent-v1;ipa=bgn
room-problems.the-toilet-will-not-flush,ההדחה לא עובדת,הַהֲדָחָה לֹא עוֹבֶדֶת,hahadaẖa lo ‘ovédet,hahadaxˈa lˈo ovˈedet,the flush does not work,2,he-agent-v1;ipa=bgn
room-problems.the-light-does-not-work,האור לא עובד,הָאוֹר לֹא עוֹבֵד,haor lo ‘oved,haˈoʁ lˈo ovˈed,the light does not work,2,he-agent-v1;ipa=bgn
room-problems.please-send-someone,אפשר לשלוח מישהו לתקן?,אֶפְשָׁר לִשְׁלוֹחַ מִישֶׁהוּ לְתַקֵּן?,efshar lishlóaẖ míshehu letaqen?,efʃˈaʁ liʃlˈoax mˈiʃehu letakˈen,can someone be sent to fix it?,2,he-agent-v1;ipa=bgn
room-problems.the-heating-does-not-work,החימום לא עובד,הַחִימּוּם לֹא עוֹבֵד,haẖimum lo ‘oved,haximˈum lˈo ovˈed,the heating does not work,2,he-agent-v1;ipa=bgn
laundry.please-wash-these-clothes,אפשר לכבס את הבגדים האלה?,אֶפְשָׁר לְכַבֵּס אֶת הַבְּגָדִים הָאֵלֶּה?,efshar lekhabes et habgadim ha’éle?,efʃˈaʁ lexabˈes ˈet habɡadˈim haˈele,can these clothes be washed?,2,he-agent-v1;ipa=bgn
laundry.where-is-a-laundromat,איפה יש מכבסה?,אֵיפֹה יֵשׁ מִכְבָּסָה?,éyfo yesh mikhbasa?,ˈejfo jˈeʃ mixbasˈa,where is there a laundry?,2,he-agent-v1;ipa=bgn
laundry.when-will-it-be-ready,מתי זה יהיה מוכן?,מָתַי זֶה יִהְיֶה מוּכָן?,matay ze yihye mukhan?,mˈataj zˈe jihjˈe muxˈan,when will this be ready?,2,he-agent-v1;ipa=bgn
laundry.how-much-per-kilo,כמה לקילו?,כַּמָּה לְקִילוֹ?,káma leqílo?,kˈama lekˈilo,how much per kilo?,2,he-agent-v1;ipa=bgn
laundry.can-it-be-ready-today,אפשר לקבל את זה היום?,אֶפְשָׁר לְקַבֵּל אֶת זֶה הַיּוֹם?,efshar leqabel et ze hayom?,efʃˈaʁ lekabˈel ˈet zˈe hajˈom,can this be received today?,2,he-agent-v1;ipa=bgn
laundry.please-do-not-use-bleach,"בלי אקונה, בבקשה","בְּלִי אַקוֹנָה, בְּבַקָּשָׁה","beli aqona, bevaqasha","belˈi akonˈa, bevakaʃˈa","without bleach, please -- aqona is the Israeli word",2,he-agent-v1;ipa=bgn
laundry.laundromat,מכבסה,מִכְבָּסָה,mikhbasa,mixbasˈa,laundry,2,he-agent-v1;ipa=bgn
laundry.please-iron-this,אפשר לגהץ את זה?,אֶפְשָׁר לְגַהֵץ אֶת זֶה?,efshar legahets et ze?,efʃˈaʁ leɡahˈets ˈet zˈe,can this be ironed?,2,he-agent-v1;ipa=bgn
laundry.detergent,אבקת כביסה,אַבְקַת כְּבִיסָה,avqat kevisa,avkˈat kevisˈa,laundry powder,2,he-agent-v1;ipa=bgn
laundry.dry-cleaning,ניקוי יבש,נִיקּוּי יָבֵשׁ,niquy yavesh,nikˈuj javˈeʃ,dry cleaning,2,he-agent-v1;ipa=bgn
laundry.dryer,מייבש,מְיַיבֵּשׁ,meyabesh,mejabˈeʃ,dryer,2,he-agent-v1;ipa=bgn
laundry.coin-operated,הפעלה במטבעות,הַפְעָלָה בְּמַטְבְּעוֹת,haf‘ala bematbe‘ot,hafalˈa bematbeˈot,operation with coins,2,he-agent-v1;ipa=bgn
